runtime,bulk_type,episode_id,series_name,key,season_number,s_no,s_id,ep_no,user_id,created_at,ep_id,episode_number,gsi,total_movies_runtime,total_series_runtime,updated_at,series_follow_count,movie_watch_count,ep_watch_count,followed_at,most_recent_ep_watched,is_for_later,is_followed,uuid,is_archived,is_unitary,is_special,rewatch_count
2880,season,10493337,Doctor Who (2023),rewatch-episode-45347f77-ee7c-4f98-81fc-d94c21683a63-1751edd0-3ad2-4f77-84a5-f38eceb8e370-1,1,1,449991,1,75120118,2024-05-17 18:50:05,10493337,1,watch-episode-1715971805,,,,,,,,,,,,,,,
2880,season,10493338,Doctor Who (2023),rewatch-episode-45347f77-ee7c-4f98-81fc-d94c21683a63-fef021c7-0024-4359-85cc-081dc0861cf5-1,1,1,449991,2,75120118,2024-05-17 18:50:05,10493338,2,watch-episode-1715971805,,,,,,,,,,,,,,,
3900,,10297575,The Boys,rewatch-episode-cede9472-e8cc-435b-818e-07d675cb3fee-fa63d5f2-7219-4810-8831-94b269f68aa8-1,4,4,355567,8,75120118,2024-08-08 00:17:56,10297575,8,watch-episode-1723076276,,,,,,,,,,,,,,,
,,,,tracking-stats,,,,,75120118,2024-05-15 04:12:54,,,,0,32037660,2026-07-04 02:38:27,167,0,13548,,,,,,,,,
,,,Bodyguard (2018),user-series-01f07f9b-0ce3-4e48-8cb5-f1143182b2f5,,,349310,,75120118,2024-05-15 18:23:25,,,,,,2024-05-15 18:26:33,,,6,1715797405095829,map[ep_id:6.733513e+06 ep_no:6 s_no:1 uuid:3add888a-6c83-4a22-a019-dd0f91b9dc39 watch_date:1.715797593004221e+15],false,true,01f07f9b-0ce3-4e48-8cb5-f1143182b2f5,false,,,
,,,Marvel's Luke Cage,user-series-02595f9e-8696-4477-8621-87066f5346f5,,,304219,,75120118,2024-05-29 20:54:42,,,,,,2024-06-01 17:45:15,,,26,1717016082056295,map[ep_id:6.668403e+06 ep_no:13 s_no:2 uuid:0ee2a483-2575-4126-bc31-5765c35eb157 watch_date:1.717263915436922e+15],false,true,02595f9e-8696-4477-8621-87066f5346f5,false,,,
,,,Doctor Who (2009),user-series-03543490-ec35-4ffb-b314-f992ea86de2e,,,112671,,75120118,2024-05-15 18:21:59,,,,,,2024-05-27 21:31:15,,,1,1715797319475118,map[ep_id:1.058271e+06 ep_no:1 s_no:1 uuid:4a0b7340-2d26-44a8-9bd1-95a943d39877 watch_date:1.716845475340794e+15],false,true,03543490-ec35-4ffb-b314-f992ea86de2e,false,,,
,,,Halo,user-series-03d70a75-240e-4646-8682-ad27b3c5afa8,,,366524,,75120118,2025-04-02 12:02:38,,,,,,2025-04-02 12:02:50,,,17,1743595358579105,map[ep_id:1.0273366e+07 ep_no:8 s_no:2 uuid:810993fe-8e9d-40fe-bc67-cbdb0469bf99 watch_date:1.743595361456163e+15],false,true,03d70a75-240e-4646-8682-ad27b3c5afa8,false,,,
,,,The Walking Dead,user-series-07be9c76-6122-46e8-b499-ab0dff2f530b,,,153021,,75120118,2024-05-15 04:15:33,,,,,,2024-05-15 18:14:31,,,177,1715746533317774,map[ep_id:9.273761e+06 ep_no:24 s_no:11 uuid:0ab25462-8944-48f7-8eec-707b1d748285 watch_date:1.715796869884558e+15],false,true,07be9c76-6122-46e8-b499-ab0dff2f530b,false,,,
,,,The Accident (2024),user-series-084eca48-19dd-4ecf-8c64-737ef3b6eb9c,,,452537,,75120118,2024-08-24 21:37:56,,,,,,2025-12-13 20:20:20,,,16,1724535476863134,map[ep_id:1.1484769e+07 ep_no:6 s_no:2 uuid:d6ffa044-b5a0-4a78-9025-e18ebde80d92 watch_date:1.765657220102683e+15],false,true,084eca48-19dd-4ecf-8c64-737ef3b6eb9c,false,,,
